"Peak#","Ret_Time","Area","Conc_ug/mL extract","Dilution","CorrConc_ug /mL biodiesel","%FAME","Lab_Tag","Treatment_ID","Type"
"C18:3 (Z6,9,12)",NA,NA,0,100,0,0,"Fat3_B1","Low fat","SAE"
"C20:1 (Z11)",19.846,25280870,163.281785003092,100,16328.1785003092,0.0321343950270918,"Fat3_B1","Low fat","SAE"
"C22:0",22.879,73883639,470.880347661834,100,47088.0347661834,0.0926708089452422,"Fat3_B1","Low fat","SAE"
"C22:2 ???",25.728,15641292,101.771421327248,100,10177.1421327248,0.0200289521292069,"Fat3_B1","Low fat","SAE"
"C24:0",26.081,28237611,184.388805901093,100,18438.8805901093,0.0362883265104388,"Fat3_B1","Low fat","SAE"
"Unknown 4",26.775,5247380,32.4314843946224,100,3243.14843946224,0.00638262333322741,"Fat3_B1","Low fat","SAE"
"C4:0",2.316,3985984,27.6313855979202,100,2763.13855979202,0.00424493288215419,"Fat3_B2","High fat","SAE"
"C6:0",3.671,9470182,66.375551929014,100,6637.5551929014,0.0101970913458575,"Fat3_B2","High fat","SAE"
"C8:0",5.105,9127279,63.9530480610955,100,6395.30480610955,0.00982492881750257,"Fat3_B2","High fat","SAE"
"C10:0",6.447,19561134,137.665013528884,100,13766.5013528884,0.0211490929609751,"Fat3_B2","High fat","SAE"
"Unknown 1",6.798,2255583,15.4066365710814,100,1540.66365710814,0.0023668787058187,"Fat3_B2","High fat","SAE"
"C12:0",8.081,47883009,337.750319677285,100,33775.0319677285,0.0518876417860172,"Fat3_B2","High fat","SAE"
"C14:0",10.33,84077925,593.456230704562,100,59345.6230704562,0.0911710293683824,"Fat3_B2","High fat","SAE"
"C14:1 (Z9)",10.751,6808007,0,100,0,0,"Fat3_B2","High fat","SAE"
"C15:0",11.634,8830125,58.7228172538779,100,5872.28172538779,0.00902142301226041,"Fat3_B2","High fat","SAE"
"C16:0",13.18,270597793,1838.83766176361,100,183883.766176361,0.28249551321637,"Fat3_B2","High fat","SAE"
"C16:1 (Z9)",13.452,13846303,85.5680420288575,100,8556.80420288575,0.0131455801947619,"Fat3_B2","High fat","SAE"
"Unknown 2",13.578,5974347,32.0671822858968,100,3206.71822858968,0.00492639198425438,"Fat3_B2","High fat","SAE"
"C17:0",14.589,4345833,28.0612048065426,100,2806.12048065426,0.00431096481115743,"Fat3_B2","High fat","SAE"
"C18:0",16.223,85098280,561.513757043672,100,56151.3757043672,0.086263796023173,"Fat3_B2","High fat","SAE"
"C18:1 (Z9)",16.488,195174117,1317.9420472077,100,131794.20472077,0.202471769399313,"Fat3_B2","High fat","SAE"
"Unknown 3",16.723,22714734,145.841331548149,100,14584.1331548149,0.0224051979468047,"Fat3_B2","High fat","SAE"
"C18:2 (Z9,12)",17.111,58111949,385.14717028971,100,38514.717028971,0.0591690880588519,"Fat3_B2","High fat","SAE"
"C18:3 (Z6,9,12)",NA,NA,0,100,0,0,"Fat3_B2","High fat","SAE"
"C20:1 (Z11)",19.844,21987567,140.899223172961,100,14089.9223172961,0.0216459555890641,"Fat3_B2","High fat","SAE"
"C22:0",22.87,60322959,384.343437308556,100,38434.3437308556,0.0590456127974293,"Fat3_B2","High fat","SAE"
"C22:2 ???",25.724,12362497,79.8944113054966,100,7989.44113054966,0.0122739560942098,"Fat3_B2","High fat","SAE"
"C24:0",26.079,25736800,167.859326873505,100,16785.9326873505,0.0257877613012372,"Fat3_B2","High fat","SAE"
"Unknown 4",26.773,6441992,40.3274485438947,100,4032.74485438947,0.00619539370440565,"Fat3_B2","High fat","SAE"
"C4:0",NA,NA,0,100,0,0,"Fat4_B1","Low fat","LAE"
"C6:0",3.671,4056671,28.1307674374245,100,2813.07674374245,0.00659913650589703,"Fat4_B1","Low fat","LAE"
"C8:0",5.104,4352636,30.2216688213975,100,3022.16688213975,0.00708963658499727,"Fat4_B1","Low fat","LAE"
"C10:0",6.446,12646100,88.8124324438887,100,8881.24324438887,0.020834318381882,"Fat4_B1","Low fat","LAE"
"Unknown 1",NA,NA,0,100,0,0,"Fat4_B1","Low fat","LAE"
"C12:0",8.072,18295549,128.724046090047,100,12872.4046090047,0.0301970983773975,"Fat4_B1","Low fat","LAE"
"C14:0",10.322,60571444,427.390197034243,100,42739.0197034243,0.100260551290861,"Fat4_B1","Low fat","LAE"
"C14:1 (Z9)",10.751,5755052,40.129305046309,100,4012.93050463091,0.00941384775500534,"Fat4_B1","Low fat","LAE"
"C15:0",11.633,7348447,48.6468708135273,100,4864.68708135273,0.0114119652724482,"Fat4_B1","Low fat","LAE"
